,name,category,rating,price,currency,description
1639,"Bruichladdich Sherry Edition Oloroso 1998 vintage, 46%",Single Malt Scotch,86,100,$,"Less appetizing brine and zing, and showing more “weight” when compared to its sibling. Sweeter notes of toffee, fig, and vanilla fudge lay the foundation for mixed nuts, black raspberry, plum, nectarine, and ripe red grape. A soothing dram."
1640,"Signatory (distilled at BenRiach) 12 year old 1994 vintage, 59.5%",Single Malt Scotch,86,54,$,"A peated version of Benriach that was also finished in a port pipe. There is a really nice blend of flavors here; a sweet malty foundation layered with ripe red fruit notes (raspberry, strawberry preserve, currant) and a firm blanket of smoke that goes on and on. All the flavors are bold, but they're equally balanced. Not a subtle whisky but quite entertaining. (Binny's Beverage Depot exclusive)"
1641,"Gordon & MacPhail ('Smith's Glenlivet'), 21 year old, 43%",Single Malt Scotch,86,125.00,$,"Well-rounded and pleasingly sweet, with ripe strawberry, raspberry, tropical fruit, graham cracker, white chocolate, and anise, all on a bed of toffee.  Some charred oak on the finish.  This whisky has a gentle, soothing persona which I think most people will enjoy (me included).
"
1642,"Old Pulteney 1990 Vintage (Cask #4931), 57.8%",Single Malt Scotch,86,121,$,"Fresh, briny, and very appetizing. Mouth-coating vanilla, lightly toasted marshmallow, and a kiss of honey add a soothing balance, while pineapple, nectarine, gentle spice, and subtle seaweed offer intrigue. Old Pulteney has great potential if only given the opportunity. Bottling at cask strength and not chill-filtered really brings out more of the whisky’s subtle complexities. I welcome more single cask, cask-strength Pulteneys in the future. (A Park Avenue Liquor exclusive.)"
1643,"Arran Single Bourbon Cask (Cask 1801) 1996 Vintage, 50.5%",Single Malt Scotch,86,80,$,"Fresh and clean, with notes of vanilla, ripe barley, honey, caramel apple, and toasted coconut. Creamy and mouth-coating in texture, leading to a pleasingly dry, spicy oak finish. Very drinkable, yet satisfying. Quite nice. 
"
1644,"Arran Pomerol Wine Cask Finish (Limited Edition), 50%",Single Malt Scotch,86,80,$,"Stylish, sophisticated. Fresh, honeyed floral, green grapes, kiwi, plum, and currant jelly. Hint of cinnamon and nutmeg. Soft, gently sweet finish. Pleasing sweetness to go with the fruit."
1645,"The Balvenie Golden Cask 14 year old, 47.5%",Single Malt Scotch,86,62,$,"Gold color (as its name suggests) with a hint of copper. This whisky, which was finished in Caribbean rum casks, follows on the heels of the limited edition The Balvenie 17 year old Rum Cask. The 17 year old was pleasant enough, but quite sweet (I rated it an 80). This new Golden Cask is an improvement, because the higher alcohol level, along with an array of dried spice, helps to balance the sweet rum notes. Lively, bright tangerine, nectarine, and pineapple combine with Balvenie’s signature honey, nougat, Heath bar, light molasses, and milk chocolate. Dried spice (vanilla, cinnamon, nutmeg) and gritty oak resin kick in on the finish, rounding everything out quite nicely. Now if we could only have the best of both worlds -- the balance of the Golden Cask 14 year old, and the maturity of the 17 year old. That could be a whisky worthy of a 90s rating. (Travel Retail Exclusive) Price per liter."
1646,"Islay Mist, 12 year old, 40%",Blended Scotch Whisky,86,50.00,$,"More rounded, with greater depth when compared to the 8 year old offering. Not as medicinal and less sweet, more toffee and less honey, with more dried spice interwoven throughout. The herbs are still there, along with licorice root. Dry, burning-ember finish. Nicely balanced, which makes it my favorite of the three.
"
1647,"GlenDronach 12 year old, 46%",Single Malt Scotch,86,59,$,"Nicely sherried. Rich, with maple syrup, honey-drenched citrus, sultana, and a good dried oak spice finish for balance. Well done for a 12 year old, and definite competition for Macallan of the same age. "
1648,"Auchentoshan 18 year old, 43%",Single Malt Scotch,86,95,$,"When compared to its younger siblings, this whisky is deeper in flavor. The citrus becomes more dominant (glazed orange, tangerine marmalade), with added notes of caramelized nuts and maple syrup. A good dash of dried spices kicks in and the whisky becomes firm and dry on the finish. My favorite of the standard range is still the 21 year old expression, which has been around for quite some time."
1649,"Springbank Oloroso Sherry Butt 12 year old, 51.5%",Single Malt Scotch,86,113,$,"Full sherry impact, but the Springbank character does manage to fight its way through it. Thick, sweet notes of toffee and molasses are accentuated by dark raisin, golden raisin, prune, date nut cake, and fruit gumdrops. Nutty, briny, rhum agricole finish. A Springbank for sherry lovers. (From a single cask, 591 bottles, exclusively for the U.S.)"
1650,"Chieftain’s (distilled at Port Ellen), 1982 vintage, 25 year old, 43%",Single Malt Scotch,86,280.00,$,"Port Ellen whiskies are getting pretty rare (and expensive). This one is softer and less vibrant than others that I’ve tasted, but still very much Port Ellen, and still enjoyable! Notes of coal tar, rooty licorice, toffee, dark chocolate, and nougat, with background citrus gumdrops, ginger, brine, seaweed, peat bog, and damp oak. I think bottling this at 46% without chill-filtering, or perhaps even cask-strength, would have helped the flavors “zing"" (and elevated my rating)."
1651,"The Black Grouse, 40%",Blended Scotch Whisky,86,29.00,$,"One might assume this to be just a smoky version of the standard Famous Grouse (with its honeyed malt, bright fruit, and floral demeanor). But, in addition to the enhanced smoke (which caringly adds a new dimension without smothering the other flavors), there also seems to be more malt body and oak spice in the mix, which I think takes Black Grouse to a higher level than Famous Grouse. The grain whisky contributes a “drinkability” component, making it a great introduction to smoky whiskies."
1652,"GlenDronach 1991 vintage, 18 year old, sherry puncheon (cask 3182), 51.7%",Single Malt Scotch,86,110,$,"The variety between this series of single casks is quite extraordinary. This has a soft and light nose with some mint and liqueured fruit, and a big, rich, and impressive taste with anise and menthol, glacé cherries, and traces of mint. The finish is warming and full, with the mint and cherry theme carrying through to a slightly peppery conclusion. £71 "
1653,"Edradour Ballechin #5, 46%,",Single Malt Scotch,86,105.00,$,"The fifth peated release of Edradour. This one is aged in Marsala casks. Sweet, with clinging fruit and thumping raw smoke. Youthful, embracing, and fleshy in the middle, with ash, anise, and espresso that grow toward the finish. These Ballechin releases keep getting better. Reminds me of a young Islay whisky without the brine and seaweed. "
1654,"Glenglassaugh, 30 year old, 43%",Single Malt Scotch,86,694.00,$,"An intriguing whisky. Blueberry cobbler, crushed grape, maple syrup, nougat, and spice (cinnamon, nutmeg). The oak is polished and unimposing. Liqueur-ish. A nice contrast to its younger sibling, and it’s more polarizing because of its distinctiveness. "
1655,"Kilkerran, 60.3%",Single Malt Scotch,86,95.00,$,"Visit Springbank’s tasting room and you’ll find distillery-only bottlings of all three whisky styles produced by the Campbeltown distillery. But it’s this malt that will probably attract the most interest. Glengyle was officially re-opened in 2004, and in recent years Springbank has released a work in progress each year. What makes this unusual is the fact that the maturing malt is held in a cask which is kept at least half full, and each year it is topped up with malt from 2004, through the solera method. This year, then, the oldest malt is six years old. The nose definitely suggests a work in progress, and is immature, rootsy, and meaty, though some orange and citrus fruit notes are there, too. On the palate there’s plenty to be encouraged by, with some spearmint and menthol, developing fruitiness, earthy peat, and distinctive salt and spice. "
1656,"Glenrothes 1995, 43%",Single Malt Scotch,86,80.00,$,"This hails from the first of Rothes’ stock that was specifically laid down for the vintage release program. The nose shows typical Rothes softness — woolen blankets and malted milk. As it opens. there’s wet linen, caramel fudge, and a hint of mixed berry and dark fruits slowly collapsing into jam. A touch of sherried nuttiness on the palate is followed by thick clover honey and a little crisp malt. The finish is gentle, lightly spiced with a touch of struck match sulfur. "
1657,"Balblair 1991 Duncan Taylor Rare Auld Range, 53.9%",Single Malt Scotch,86,120,$,"This cask strength Northern Highlander offers a full and complex nose, comprising brandy notes, stewed apricots, spices, table salt, and white pepper. A hint of nougat turns to darker caramel. Rich on the palate, mouth-coating, sweet, with lively spices. The finish is buttery, with a pinch of ginger, and a final brandy-and-soda finish."
1658,"Glen Garioch, 1991, Duncan Taylor Rare Auld range, 51.1%",Single Malt Scotch,86,125.00,$,"Melon notes to the fore early on the nose; floral, especially carnations. Progressively more caramel, with Parma violet sweets. Pretty and feminine. Richer and fuller-bodied on the palate than the nose might suggest. Fresh fruit, apple juice, almonds, and gentle spices, slowly moving to milky coffee in the finish. The faintest hint of smoke pervades the flavor, but is very much a ‘bit part’ player in the ensemble. "
1659,"Glenugie, Chivas Brothers, Deoch an Doras bottling, 32 year old, 55.4% ",Single Malt Scotch,86,410.00,$,"Recently added to Chivas Brothers’ lineup of Cask Strength Edition whiskies, this Eastern Highland single malt from the ‘lost’ distillery of Glenugie in the fishing port of Peterhead is perfumed on the nose, with discreet sherry, cocoa, fresh leather, blackcurrants, peaches, and apricots. The palate is initially sweet, with fresh fruit, but old-fashioned cough drops and black coffee notes soon arrive. Very long in the spicy, tannic oak finish. Exclusive to Chivas Brothers’ distillery visitor centers and www.maltwhiskydistilleries.com (500 bottles). £250 "
1660,"The Dalmore Dee Dram, 40%",Single Malt Scotch,86,69,$,"With the percentage of former oloroso sherry-matured spirit ramped up to 60 percent in this Dee variant, the nose is deeper and richer than that of the Tweed Dram; Seville orange marmalade and a hint of cocoa. More immediate dark chocolate on the palate, with raisins and walnuts. The finish is lengthy, with plums, black coffee, and a suggestion of licorice. £42 Currently not available in the U.S."
1661,"The Dalmore Tweed Dram, 40%",Single Malt Scotch,86,69,$,"Comprising 80 percent American white oak-matured whisky and 20 percent from ex-oloroso sherry casks, the Tweed Dram offers lots of citrus fruit on the nose, with an early dusting of icing sugar, then orange and lemon wine gums. Relatively light and fresh, with gentle fudge notes. Malt, toffee, cinnamon, and over-ripe oranges on the spicy palate. Quite long in the finish, with spicy oak, nutmeg, and lingering dark chocolate notes. £42 Currently not available in the U.S."
1662,"Bladnoch 1993, Gordon & MacPhail Connoisseurs’ Choice range, 43%",Single Malt Scotch,86,70.00,$,"This most recent Connoisseurs’ Choice bottling from Scotland’s southernmost distillery has been matured in refill sherry hogsheads. The nose is pleasing and light, mildly herbal, with cut grass, citrus fruits, and a hint of malt. Medium-bodied, sweet and fruity in the mouth, with peaches, nuts, and discreet spice. Relatively lengthy in the creamy finish. Very drinkable and quite substantial."
1663,"Springbank 14 year old Manzanilla Cask (#259), 54.8%",Single Malt Scotch,86,100.00,$,"A round of single cask Springers matured completely (not finished) in various wine casks for the U.S. market. All four are solid efforts — it’s really a matter of personal preference. A general comment: most of the single cask releases are matured in some sort of wine or rum cask. While this is nice, I would love to see several single cask, cask strength, and fully-matured ex-bourbon barrel bottlings offered for a change. 

Complex citrus (orange, tangerine, lime, and a hint of lemon), honeyed malt kissed by maple syrup, caramelized pineapple, cinnamon, and a dusting of nutmeg. Nutty toffee on the finish. "
1664,"Springbank 14 year old Oloroso Cask (#268), 56.2%",Single Malt Scotch,86,100.00,$,"A round of single cask Springers matured completely (not finished) in various wine casks for the U.S. market. All four are solid efforts — it’s really a matter of personal preference. A general comment: most of the single cask releases are matured in some sort of wine or rum cask. While this is nice, I would love to see several single cask, cask strength, and fully-matured ex-bourbon barrel bottlings offered for a change. 

What you might expect a traditional 100% oloroso sherry cask-aged Springbank to taste like, with probably the most familiar flavor profile of the four: rich, with nuts and dried fruit, chocolate-coated brittle toffee, plenty of spice (cinnamon, ginger), polished oak, hint of tobacco and smoke. "
1665,"Wemyss Malts Vanilla Summer Single Cask, 46%",Blended Malt Scotch Whisky,86,79.00,$,"The latest batch of single cask releases from Wemyss Malts includes Vanilla Summer. It is an unspecified Highland single malt, distilled in 1997, and the bourbon cask in which it was matured has yielded 263 bottles. Vanilla, buttercups, and violets on the nose, developing Bramley apples with peaches and cream. Background of mildly spicy malt. Sweet and floral on the palate, with tropical fruits, fudge, and ginger. Slowly drying with benevolent oak, but ultimately a lingering creaminess. £50 (Not available in the U.S.)"
1666,"Adelphi (distilled at Dailuaine) 1983 27 year old, 58.1%",Single Malt Scotch,86,165.00,$,"The dark color shouts “sherried!” and the nose confirms. After an initial blast of marzipan there’s rosin, stewed Assam tea, some licorice, hard treacle toffee, truffle, and a charred element, all backed with an earthy undertow. The palate is tight and quite hot, with charred red pepper and a bosky, wooded note. Not a great fan of water — this is about that deep, fungal stuff — there’s an uplift of sweet dark fruits at the end, offering balance. £105"
1667,"Duncan Taylor NC2 (distilled at Balmenach) 2000 9 year old, 46%",Single Malt Scotch,86,55.00,$,"Young it certainly is. Precocious even, and a pallid-looking youth on first impression, but behind that bland exterior is freshness and life with a fragrance that is very un-Balmenach, all chilled Muscat grapes, melon, even some cucumber. This general perfumed zinginess continues on the tongue, though the weight of the distillate (Balmenach has worm tubs) anchors it well. It’s not about age — it’s about character. Enjoy. "
1668,"Glengoyne 15 year old Distiller’s Gold, 40%",Single Malt Scotch,86,70,$,"Distiller’s Gold is exclusive to Travel Retail outlets and is dedicated to the distillery’s first manager, Cochran Cartwright, whose ghost is said to haunt the Stirlingshire distillery. Distiller’s Gold displays a nose of brittle nut toffee and dried fruit, with vanilla and caramel notes emerging. Spicy tropical fruits on the palate, with an edge of cinnamon and ginger. Medium in length, pleasantly oaky, persistently nutty and spicy. Price is per liter."
1669,"Tullibardine Vintage 1993, 46%",Single Malt Scotch,86,65.00,$,"The latest Tullibardine vintage release to hit the States is another example of whisky distilled in 1993, but now bottled at 18 years of age. The initial nose features cut grass and sliced melon, with freshly-peeled tree bark. Intensifying sweetness with time. Quite rich and full on the palate, with cereal, soft fudge, and mild ginger. The finish is medium in length, insistently spicy, with oak and vanilla notes. "
1670,"Duncan Taylor 18 year old Dimensions Range 1993 (distilled at Aberlour), 54.3%",Single Malt Scotch,86,110,$,"A light color suggests a relaxed contact between cask and whisky, but what this lacks in terms of ‘woodiness‘ it makes up for in all-round deliciousness. Aberlour is often masked with plenty of sherry and/or bourbon oak; here the distillery character is thrust to the fore and comes out as being highly aromatic. There are candies, bubblegum, kiwi fruits, and cut flowers. The palate is vibrant with a touch of parma violet and pear juice. Altogether a little charmer."
1671,"Glenrothes 1979 Editor’s Cask #3828, 52.1%",Single Malt Scotch,86,956.00,$,"Last year, four whisky editors were invited by Glenrothes’ heritage director Ronnie Cox to choose a single cask bottling. Being opinionated hacks, they couldn’t agree and so two casks were chosen! This, the oldest, from a refill butt, is for the European markets, and shows hints of rancio: truffle, leaf mold, boot polish, and star anise. The impression is of faded elegance with tannins, fruit, and spice in harmony, and a hint of pomegranate-like bitterness just on the end. £600"
1672,"Arran 14 Year Old, 46%",Single Malt Scotch,86,70,$,"This expression from the Isle of Arran distillery appeared in 2010 and one-third of the component whiskies were matured in European oak casks while two-thirds came from American oak. Very fragrant and perfumed on the nose, with peaches, brandy, and ginger snaps, plus vanilla and mild oak. Smooth and creamy on the palate, with spicy summer fruits, apricots, and hazelnuts. The lingering finish is spicy, biscuity, and slowly drying, with just a hint of salt."
1673,"Old Pulteney Row to the Pole, 40%",Single Malt Scotch,86,32,$,"Explorer Jock Wishart’s successful ‘Row to the Pole’ expedition is celebrated with this 3,000 bottle commemorative edition matured in ex-American and ex-Spanish oak sherry casks selected by distillery manager Malcolm Waring. New-mown grass, ripe apples, brine, and a whiff of Arbroath smokies on the nose. Citrus fruit, spices, and milk chocolate on the palate, with sherry lending gravitas. The finish is sweet, full, and lengthy, with brine returning at the last. £20 (350 ml)"
1674,"Glenglassaugh Aged 37 Years, 56%",Single Malt Scotch,86,625.00,$,"Glenglassaugh distillery has released a number of country-exclusive expressions recently, including this 37 year old single cask (470 bottles) for North America, under the Master Distillers Selection banner. Initially, cornflakes and sherry on the nose, with developing vanilla and soft toffee. Becoming very sweet. Rich and notably spicy on the palate, with dates and dark chocolate. Persistently spicy in the finish, with background citrus fruits."
1675,"Glenfarclas Family Cask 1964 (Cask #4719), 48.5%",Single Malt Scotch,86,803,$,"A sherry butt this time, which has allowed the whisky a little more space to breathe. Although as concentrated as you'd expect here, we can see more fragrance emerging and a big-boned elegance is on show — think Margaret Dumont. I pick up some rose hip syrup, dried apple, Armagnac/prune, and a licorice note, as seen on the ’62; while on the palate, a good balance of rich chocolatey sweetness to offset the tannins. Big but balanced. £512"
1676,"Clynelish Distillers Edition 1993, 43%",Single Malt Scotch,86,74.00,$,"When this first appeared I found it too sweet, which was strange, as the finishing period is in dry oloroso casks. This most recent iteration sees the finish better integrated. There’s more spiciness than on the standard 14 year old, while the fruit seems plumper: more apricot and kumquat. The waxiness is there but the candle is scented. It still clings to the tongue, but there is an added nutty, oxidized character. A marked improvement.£47"
1677,"Dalwhinnie 15 year old, 43%",Single Malt Scotch,86,65.00,$,"Along with Cragganmore, this is one of the underrated members of the original Classic Six. Quite why has always slightly baffled me. OK, it isn’t smoky, but the nose has a deep, soft, honeyed sweetness: think caramelized fruits, hints of thick cream, and a light touch of fennel and sharp citrus. Thick in the center and very gentle, it’s that chunkiness in the middle that is the secret to its beauty."
1678,"Talisker Distillers Edition 2000, 45.8%",Single Malt Scotch,86,83.00,$,"The immediate shore-like blast suggests that the sweet amoroso casks haven’t been overly enthusiastic in their embrace. What seems to have happened is that while giving some date and prune they have added an extra layer of oak — giving a charred element — and, like Lagavulin, hints of tar. The smoke is obscured and the pepper is Javanese. It’s a polite Talisker, but the absorption of the smoke means it has lost something integral to its being. "
1679,"Chieftain’s (distilled at Bruichladdich) 22 year old 1989, 51.4%",Single Malt Scotch,86,130,$,"A distinctive (and intriguing) Bruichladdich, with honeyed malt, vanilla pod, charcoal, exotic fruit, and dark chocolate bourbon balls, teased with suggestions of fennel and espresso bean. Tactile, leather finish. (A D&M Wines & Liquors exclusive.)"
1680,"Duncan Taylor (distilled at Clynelish) 1990, 53.2%",Single Malt Scotch,86,125.00,$,"Duncan Taylor’s latest cask strength, single cask release from the Sutherland distillery of Clynelish is 21 years old. It is sweet on the nose, with hand-rolling tobacco, milk chocolate, overripe grapes, and vanilla. Becoming saltier and drier. Nutty and mildly maritime on the palate, with lots of spice, steadily drying. Spice and ginger in the lengthy, oily finish. £80"
1681,"Auchentoshan Heartwood, 43%",Single Malt Scotch,86,63,$,"Auchentoshan has launched a range of travel retail-exclusive bottlings with names relating to oak, including Heartwood, which is matured in a mix of deeply-charred former bourbon and toasted oloroso sherry casks. Soft, medium sherry notes on the nose; stem ginger, cinnamon, parma violets, and clove-studded oranges. The palate features wood polish, old leather, plain chocolate, cloves, and ginger. Dates and spicy orange marmalade on the lengthy finish. €50"
1682,"The Macallan Masters of Photography 1991 (Release 3, Cask #7023), 50.8%",Single Malt Scotch,86,"2,750",$,"This time we’ve got Macallan in savory mode, even a little balsamic. The spirit shows its hand more than in the 1995, with typical Macallan heft. Now you are deep in a forest of yew and larch with a dark chocolate bar for sustenance. Maturity has brought out leather alongside clove and resin. The palate shows a similar tomato note seen in the 1995 cask, with positive bitterness and wedding cake. Though grippy, it has great balance. 285 bottles."
1683,"Talisker 25 year old, 45.8%",Single Malt Scotch,86,353.00,$,"Previously only available as part of Diageo’s annual Special Releases program, and now bottled at the classic Talisker strength of 45.8%, instead of cask strength. Initially salty, then sweet and spicy on the nose, with summer berries, heather honey, and an earthy note, plus subtle peat. Spicy and drying on the slightly waxy palate, with licorice, aniseed, and prominent peat embers. The finish is medium in length, peppery, and relatively tannic. £225 "
1684,"Tomatin 15 year old, 52%",Single Malt Scotch,86,80.00,$,"The latest release from Tomatin distillery is a limited edition (3,150 bottles) 15 year old that has been matured in a combination of second-fill bourbon barrels and tempranillo wine casks (the grape of full-bodied Spanish reds like those from Rioja). The nose offers fruit cocktail and salted popcorn, while milk chocolate, vanilla, and nutty caramel notes emerge. Soft chocolate, bananas, and autumn berries on the slightly peppery palate. The finish is nutty, with lingering spice, peppery oak, and finally a lengthy, creamy sensation."
1685,"The Dalmore 1992 aged 19 year old, 53.8%",Single Malt Scotch,86,"3,200",$,"The most youthful bottling in the Constellation series is a 19 year old, which started life in a first-fill bourbon barrel before being transferred into a European oak port pipe in 2002 for a further nine years of maturation. The nose offers a hint of new leather, marzipan, developing caramel, and damsons. Zesty fruit, allspice, and ground ginger on the palate, along with thick-cut orange marmalade. The finish is long, warming, and spicy. Cask number 18; 737 bottles."
1686,"Caol Ila 14 year old Special Release 2012, 59.3%",Single Malt Scotch,86,103.00,$,"This is Caol Ila not only in unpeated guise, but from a ‘bodega-treated’ sherry butt. Full and lush, the distillery’s pear and melon here are in super-ripe guise alongside sweet biscuits, mashed banana, and Mars bar. With water, it’s more a cabinetmaker’s workshop—but isn’t woody. The mouth is sweet and concentrated with jabs of raspberry and hedgerow fruits. Who needs peat? My best value bottling this issue.  "
1687,"Dalwhinnie 25 year old Special Release 2012, 52.1%",Single Malt Scotch,86,300.00,$,"There have been three previous Special Release offerings of Dalwhinnie, and this 1987 distillation is the first to have been aged in rejuvenated American oak hogsheads. Cloves are to the fore on the aromatic nose, along with cinnamon, ginger, fudge, and tropical fruits. Initially oily and honeyed on the palate, with developing spice, wood resin, and herbal flavors. Spicy oak in the lengthy finish, with a return to the initial note of cloves. 5,358 bottles."
1688,"Gordon & MacPhail Private Collection Balblair 1991 Crozes-Hermitage Finish, 45%",Single Malt Scotch,86,140,$,"Distilled in October 1991, this 20 year old Private Collection expression of Balblair spent 40 months of secondary maturation in casks sourced from Crozes-Hermitage, the largest AOC in the northern Rhône wine-producing region of France. The nose offers red currants, sultanas, vanilla, and white pepper. The palate is initially soft and sweet, with summer fruits, but gradually darkens and dries. The finish features dark chocolate and raisins. 2,000 bottles."
1689,"Douglas Laing Old Malt Cask (distilled at Royal Brackla) 12 year old, 50%",Single Malt Scotch,86,79.00,$,"The Old Malt Cask ‘Royal Jubilee Commemorative Bottle’ appropriately comes from one of two surviving Scottish distilleries with a ‘royal’ prefix, namely Brackla, located in the Northern Highland region, near Nairn. Maturation has taken place in a refill sherry cask. The nose is like a damp, empty house, with herbal notes, pencil shavings, oranges, and pine needles. Full-bodied and spicy, with freshly-sawn timber, pine, and brittle toffee on the palate. Citric, with camphor and pepper in the finish. 250 bottles. £50"
1690,"Wemyss Malts (distilled at Auchentoshan) ‘Lemon Sorbet’ 1998, 46%",Single Malt Scotch,86,87.00,$,"This expression of the triple-distilled Lowland single malt is a 14 year old single cask bottling, and just 314 bottles are available. Fresh pineapple and vanilla toffee on the fragrant, soft nose. The palate is lively and fruity, with lemon zest, caramel, a hint of black pepper, and then deeper fruit notes of ripe peach. The finish is quite lengthy, with lingering fruit flavors. £55"
1691,"Wemyss Lord Elcho 15 year old, 40%",Single Malt Scotch,86,79.00,$,"It's not often that the blended whisky section can be described as 'the group of death' but at most other times this whisky would shine. It's a very good whisky, rich in flavor and punching above its 40% ABV, mixing creamy vanilla, pureed peach and apricot, key lime pie, chocolate, and manuka honey to great effect. It's soft and rounded, with little obvious oak, and the finish is feather-light, with a slightly fruit sponge finale. £50"
1692,"The Balvenie DoubleWood 17 year old, 43%",Single Malt Scotch,86,130,$,"A limited edition bottling to commemorate the great David Stewart’s 50th year in the business and, as befits this quiet man, here’s a release that rewards just sitting and listening. This gives more of a nod to Cognac than Speyside; something to do with the dried apricot, orange blossom, and golden syrup. The palate is gentle and layered, with more dried fruits, which are balanced by an almost jammy finish where, finally, some cereal is glimpsed."
1693,"Lady of the Glen (distilled at Benrinnes) 14 year old 1998, 57.8%",Single Malt Scotch,86,101.00,$,"This is a new bottler to me and they’ve made quite an arrival with this, a classic Benrinnes. This is a distillery where meatiness is desirable, and this is as thick and savory as a slow-cooked pheasant stew or cassoulet, with an added herbal and pruney element. A real sweetness and a pleasing lift of sulfur (which can enhance whiskies) add to the complexity. Chewy on the tongue, with earthiness revealed by water. £65  "
1694,"Douglas Laing (distilled at Glen Mhor) 30 year old, 50%",Single Malt Scotch,86,179.00,$,"This veteran Old Malt Cask offering was distilled in Glen Mhor, Inverness during 1982. The early nose is very fruity, with Jelly Babies, then icing sugar and almonds come through, accompanied by supple malt. A good mouthfeel, with the fruitiness following on from the nose, joined by spicy toffee, a wisp of wood smoke, and old oak. The finish is medium to long, slightly resinous, and citric with a dash of cocoa and a hint of peat.  £115"
1695,"Glengoyne 15 year old, 43%",Single Malt Scotch,86,75,$,"Glengoyne’s core range has been revamped: the 12 year old cask strength bottling was replaced by one with no age statement, and this 15 year old was added. Maturation has taken place in sherry casks and the result is a nose of vanilla, ginger, toffee, vintage cars’ leather seats, and sweet fruit notes. The somewhat oily palate features quite lively spices, raisins, hazelnuts, and oak. The finish is medium in length and spicy to the end, with cocoa powder. £48"
1696,"Douglas Laing (distilled at Auchentoshan) 11 year old, 46%",Single Malt Scotch,86,62,$,"This expression of Auchentoshan from Douglas Laing’s Provenance range was distilled in September 2000, matured in bourbon casks, and bottled in November 2012. Opens very sweet on the nose, with vanilla, peaches, and apricots, plus allspice. More caramel in time. Medium bodied, with sweet fruits, new-mown hay, and hard toffee on the palate, giving way to spice and aniseed. The spicy finish features cloves, and dries steadily, with a final flourish of pepper. £40"
1697,"Grant’s 18 year old Rare, 40%",Blended Scotch Whisky,86,78,$,"The last eighteen months have been very good ones for blended and blended malt Scotch whisky. Shackleton and Compass Box set out in a fresh direction and there were top releases from the likes of Johnnie Walker and Blue Hanger. So quality brands from the likes of Grant’s have to rethink. This is well made, tasty, balanced, complex, and drinkable without water or a mixer. But shouldn’t a premium whisky justify a strength of 46% ABV? I think so. £50"
1698,"Glenfiddich 12 year old, 40%",Single Malt Scotch,86,37,$,"The world’s best-selling single malt. Isn’t that sufficient to give this dram some respect? It might be me, but it strikes me that ’Fiddich has more heft to it these days, with a sherried element giving the pear, apple, and light cereal of the distillery character a sweet, plump, sultana underpinning. This then adds chewiness to the palate, balancing the dry nuttiness and receding on the finish where those green fruits come through to add fresh acidity. Great balance."
1699,"Highland Park Harald, 40%",Single Malt Scotch,86,96,$,"Harald Fairhair was King of Norway and a major figure in Viking history. This Warrior variant takes us closer to Highland Park’s traditional DNA, with the nose offering potato peels on a barbecue; earthy and herbal, with developing notes of heather in bloom and even violets. Lively fresh fruits, newly-baked cake, nutmeg, and ginger figure on the palate. The spicy finish is relatively long, with candied citrus peel and licorice. €75/700 ml"
1700,"Gordon & MacPhail Rare Old (distilled at Glenugie) 1970, 46%",Single Malt Scotch,86,653.00,$,"Elgin distiller, bottler, and whisky merchant Gordon & MacPhail has revamped its prestigious Rare Old range of veteran single malts, many from lost distilleries, and this bottling from Glenugie in Peterhead is one of the latest releases in the lineup. Sweet on the nose, with marshmallows, wax polish, creamy caramel, and milk chocolate. Quite full-bodied, with white pepper, ginger, muted citrus fruit, and cocoa. Soon starts to dry…drying steadily through the nutty finish, with musty oak and aniseed. £430"
1701,"Tullibardine 20 year old, 43%",Single Malt Scotch,86,125.00,$,"This 20 year old expression of Tullibardine has been aged in first-fill bourbon barrels, like its younger stablemate Sovereign. Caramel, honey, cocoa, and a hint of linseed oil on the nose. The palate is creamy, with strawberries, warm milk chocolate, and allspice. Long and soft in the finish, which is reminiscent of choc-ice. At 20, this single malt has gained in richness and sophistication, with an extremely enticing flavor profile."
1702,"Kilkerran Work In Progress 5 Bourbon, 46%",Single Malt Scotch,86,58,$,"The first Kilkerran “work in progress” bottling from Glengyle distillery appeared in 2009, and the ultimate aim is to bottle a 12 year old expression. For now, we have separate sherry butt-matured and bourbon barrel-matured expressions for 2013. The bourbon-aged variant offers vanilla, cinnamon, milk chocolate, ripe apples, and ultimately, slightly smoky mango notes on the nose. Spicy on the palate, with blood orange and a hint of peat smoke. The medium-length finish is drying, with a wisp of smoke. £38 "
1703,"Bowmore Tempest IV/Dorus Mor, 55.1%",Single Malt Scotch,86,119,$,"Tempest to the world, Dorus Mor in the U.S., this has an intensely salty start that’s
like being slapped by a wave on Bowmore’s harbor wall. That marine note
continues: samphire, clams with a squeeze of lemon. Water brings out wet clay.
The palate is equally briny, but with a sprig of lavender, then soft fruits
wreathed in peat smoke. It’s tense and coiled, with real energy when neat, but
it’s best like that, so deal with the heat."
1704,"Wemyss Malts Chocolate Honeycomb (distilled at Bunnahabhain) 2001, 46%",Single Malt Scotch,86,81,$,"Rich and malty and, though it’ll look like I’m just reading the label, there is
chocolate here: chocolate brownie mix to be precise, with a raspberry sitting
on top. Bold and rich, with a nutty underpinning. Water makes it very fresh and
a little more hay-like. The palate is sweet and liquorous, with nougat,
macadamia, and a chewy mid-palate where that chocolate dribbles and melts.
Neat, it is slightly bitter; less so with water. Very sound. £53"
